Combination	Total	TP	TN	FP	FN	Recall	FPR	Precision	F1score	Balanced_accuracy
micfunpred_1_80	1462	318	7031	1144	321	49.76525821596244	13.99388379204893	21.751025991792066	30.271299381247022	58.692433561728464
micfunpred_0.95_96	890	241	7526	649	244	49.69072164948454	7.938837920489298	27.078651685393258	35.054545454545455	61.969184272555054
micfunpred_0.7_100	1394	422	7205	972	425	49.82290436835891	11.887000122294241	30.272596843615496	37.66175814368585	62.35123944408822
micfunpred_0.8_98	937	217	7456	720	220	49.65675057208238	8.806262230919765	23.159018143009604	31.586608442503636	60.14647103085864
micfunpred_0.85_96	909	212	7483	697	215	49.64871194379391	8.52078239608802	23.32233223322332	31.736526946107787	60.26469950190655
micfunpred_0.75_95	1158	275	7302	883	278	49.728752260397826	10.788026878436163	23.74784110535406	32.144944476914084	60.040147465605784
micfunpred_0.95_90	980	272	7468	708	275	49.725776965265084	8.659491193737768	27.755102040816325	35.62540929927963	62.101753525896996
micfunpred_0.5_99	1334	253	7099	1081	256	49.70530451866404	13.215158924205378	18.96551724137931	27.455236028214866	57.74244590824914
micfunpred_0.8_95	1139	270	7314	869	273	49.72375690607735	10.61957717218624	23.705004389815628	32.10463733650416	60.05337210396278
micfunpred_0.75_98	962	225	7444	737	228	49.668874172185426	9.008678645642341	23.38877338877339	31.802120141342762	60.208463858098895
micfunpred_0.5_96	1359	294	7122	1065	297	49.746192893401016	13.008427995602784	21.63355408388521	30.153846153846146	58.815159573281065
micfunpred_1_96	1157	316	7334	841	319	49.76377952755905	10.287461773700306	27.31201382886776	35.26785714285714	61.57185690790049
micfunpred_0.6_90	1362	316	7138	1046	319	49.76377952755905	12.781036168132943	23.201174743024964	31.647471206810213	59.46165750695569
micfunpred_0.9_99	878	245	7539	633	248	49.69574036511156	7.745961820851689	27.904328018223236	35.74033552151714	62.359766423391825
micfunpred_0.85_90	1061	287	7407	774	290	49.74003466204506	9.460946094609461	27.04995287464656	35.04273504273504	61.64112558634238
micfunpred_0.5_75	1568	327	6957	1241	330	49.77168949771689	15.137838497194437	20.85459183673469	29.393258426966284	58.16298961947892
micfunpred_0.5_98	1193	247	7234	946	250	49.69818913480885	11.56479217603912	20.704107292539817	29.230769230769234	58.68182382264617
micfunpred_0.95_75	1042	282	7416	760	285	49.735449735449734	9.295499021526417	27.06333973128599	35.05282784338098	61.6812608278557
micfunpred_0.75_80	1272	311	7224	961	314	49.76	11.740989615149664	24.449685534591197	32.788613600421726	60.142062188892844
micfunpred_0.5_100	1848	453	6783	1395	456	49.834983498349835	17.05796038151137	24.512987012987015	32.861806311207836	59.10688720728091
micfunpred_0.5_95	1340	312	7158	1028	315	49.760765550239235	12.558025897874419	23.283582089552237	31.72343670564311	59.534203730444524
micfunpred_0.8_85	1232	308	7260	924	311	49.75767366720517	11.29032258064516	25.0	33.27930848190168	60.44611015717871
micfunpred_0.95_85	1050	283	7409	767	286	49.73637961335677	9.381115459882583	26.95238095238095	34.95985176034589	61.61784089854265
micfunpred_0.6_98	940	230	7468	710	233	49.676025917926566	8.681829298116899	24.46808510638298	32.78688524590164	60.72125200650924
micfunpred_0.6_100	1358	348	7167	1010	351	49.78540772532189	12.351718234071175	25.625920471281294	33.835683033544	60.47856278951136
micfunpred_1_100	1069	334	7436	735	337	49.77645305514158	8.995227022396278	31.24415341440599	38.39080459770115	63.4543165116543
micfunpred_0.75_90	1219	301	7267	918	304	49.75206611570248	11.215638362858888	24.69237079573421	33.00438596491228	60.33852458687781
micfunpred_0.85_95	978	236	7438	742	239	49.684210526315795	9.070904645476773	24.130879345603272	32.48451479697178	60.508842043519365
micfunpred_0.5_97	1221	268	7227	953	271	49.721706864564005	11.65036674816626	21.94922194922195	30.454545454545453	59.16746240165819
micfunpred_0.7_99	882	222	7517	660	225	49.664429530201346	8.071419836125719	25.170068027210885	33.40857787810384	61.13192112287953
