Combination	Total	TP	TN	FP	FN	Recall	FPR	Precision	F1score	Balanced_accuracy
micfunpred_0.9_80	2268	1425	5651	843	1432	49.877493874693734	12.981213427779489	62.83068783068783	55.609756097560975	71.30663291717929
micfunpred_0.75_100	1672	1115	5937	557	1122	49.84354045596782	8.577148136741608	66.68660287081339	57.047838321821445	75.39600011793964
micfunpred_0.95_97	2094	1323	5720	771	1330	49.86807387862797	11.877984902172239	63.180515759312314	55.74046766378765	72.15763376618098
micfunpred_0.9_97	2233	1424	5685	809	1431	49.877408056042036	12.457653218355405	63.77071204657412	55.9748427672956	71.83054995246076
micfunpred_0.9_96	2244	1430	5680	814	1437	49.87792117195675	12.534647366800122	63.725490196078425	55.957738211700246	71.76719922196784
micfunpred_0.6_75	2586	1539	5454	1047	1546	49.886547811993516	16.105214582371943	59.51276102088167	54.27614177393757	68.71352336758369
micfunpred_0.7_75	2484	1500	5515	984	1507	49.88360492184902	15.140790890906294	60.38647342995169	54.63485703879075	69.46267562127035
micfunpred_0.6_97	2375	1413	5538	962	1420	49.87645605365337	14.799999999999999	59.49473684210527	54.26267281105991	69.54328678839957
micfunpred_0.7_97	2424	1490	5565	934	1497	49.88282557750251	14.371441760270812	61.46864686468647	55.07299944557383	70.13534297354968
micfunpred_1_95	2071	1222	5645	849	1229	49.85720114239086	13.073606405913152	59.005311443746976	54.046881910659	70.56317361538527
micfunpred_1_75	2147	1242	5590	905	1249	49.85949417904456	13.933795227097768	57.84816022356777	53.557567917205695	69.7926281451221
micfunpred_0.7_98	1826	1195	5864	631	1202	49.85398414685023	9.715165511932256	65.44359255202629	56.594837793038124	74.21627688739157
micfunpred_0.6_85	2586	1539	5454	1047	1546	49.886547811993516	16.105214582371943	59.51276102088167	54.27614177393757	68.71352336758369
micfunpred_0.8_96	2338	1459	5619	879	1466	49.88034188034188	13.52723915050785	62.403763900769896	55.4436633098993	70.85608096238212
micfunpred_0.85_80	2264	1400	5634	864	1407	49.87531172069826	13.29639889196676	61.83745583038869	55.21593374087951	70.92724943202434
micfunpred_0.85_98	1554	1059	5999	495	1066	49.83529411764706	7.622420696027102	68.14671814671814	57.56999184561021	76.52912694313969
micfunpred_0.7_85	2484	1500	5515	984	1507	49.88360492184902	15.140790890906294	60.38647342995169	54.63485703879075	69.46267562127035
micfunpred_0.75_99	1754	1157	5897	597	1164	49.84920292977165	9.193101324299354	65.96351197263398	56.78527607361963	74.73929741104438
micfunpred_0.9_90	2275	1431	5650	844	1438	49.87800627396305	12.996612257468431	62.901098901098905	55.63763608087092	71.30664425867586
micfunpred_0.95_99	1548	1061	6000	487	1068	49.83560356975106	7.507322336981656	68.54005167958657	57.710089747076424	76.71484757154201
micfunpred_1_80	2147	1242	5590	905	1249	49.85949417904456	13.933795227097768	57.84816022356777	53.557567917205695	69.7926281451221
micfunpred_0.95_96	2096	1322	5717	774	1329	49.86797434930215	11.924202742258512	63.07251908396947	55.69833579102591	72.10537677161857
micfunpred_0.7_100	1717	1137	5915	580	1144	49.84655852696186	8.929946112394148	66.22015142690739	56.878439219609795	75.00694495838924
micfunpred_0.8_98	1692	1131	5933	561	1138	49.8457470251212	8.638743455497382	66.84397163120568	57.10679121433981	75.37503347505694
micfunpred_0.85_96	2241	1413	5670	828	1420	49.87645605365337	12.742382271468145	63.05220883534136	55.69570358691367	71.51200004531525
micfunpred_0.75_95	2382	1471	5587	911	1478	49.881315700237366	14.01969836872884	61.75482787573468	55.18664415681861	70.41739978358567
micfunpred_0.95_90	2148	1338	5681	810	1345	49.869549012299665	12.47881682329379	62.290502793296085	55.39225833160837	71.5736601640833
micfunpred_0.5_99	1974	1256	5781	718	1263	49.86105597459309	11.047853515925526	63.627152988855116	55.90919207656354	72.84849983343949
micfunpred_0.8_95	2339	1456	5615	883	1463	49.88009592326139	13.588796552785473	62.248824283882	55.38227462913656	70.78957179155954
micfunpred_0.75_98	1744	1157	5907	587	1164	49.84920292977165	9.039113027409918	66.34174311926606	56.924969249692495	74.94006969285323
micfunpred_0.5_96	2455	1443	5489	1012	1450	49.879018320082956	15.5668358714044	58.77800407331976	53.96409872849663	68.94081065461636
micfunpred_1_96	2073	1228	5649	845	1235	49.85789687373122	13.012011087157378	59.237819585142304	54.144620811287474	70.64883425509294
micfunpred_0.6_90	2590	1541	5454	1049	1548	49.88669472321139	16.131016453944333	59.4980694980695	54.27011797851734	68.69505017319928
micfunpred_0.9_99	1555	1065	6000	490	1072	49.83621899859616	7.550077041602465	68.48874598070739	57.69230769230768	76.66518746999171
micfunpred_0.85_90	2270	1408	5636	862	1415	49.87601842012044	13.265620190827947	62.02643171806167	55.29157667386609	70.97917813388547
micfunpred_0.5_75	2517	1444	5428	1073	1451	49.87910189982729	16.505153053376404	57.36988478347239	53.3628972653363	68.13835131745213
micfunpred_0.5_98	1981	1260	5778	721	1267	49.86149584487535	11.094014463763656	63.60424028268551	55.900621118012424	72.80992709663019
micfunpred_0.95_75	2136	1332	5687	804	1339	49.86896293523025	12.386381143121245	62.35955056179775	55.419180361972124	71.65088259658347
micfunpred_0.75_80	2408	1468	5558	940	1475	49.88107373428474	14.465989535241613	60.96345514950167	54.8682489254345	69.99544860418351
micfunpred_0.5_100	1871	1198	5825	673	1205	49.85434873075322	10.357032933210219	64.02993051843934	56.05989705194198	73.44455274143873
