Sample	Dataset	Tool	Percent_identity	Correlation
SRS016267	hmp	MicFunPred	97	0.7834898037011427
SRS016319	hmp	MicFunPred	97	0.8736910553118621
SRS016331	hmp	MicFunPred	97	0.8575670873966685
SRS016335	hmp	MicFunPred	97	0.8116945096546448
SRS016437	hmp	MicFunPred	97	0.5862593646604828
SRS016517	hmp	MicFunPred	97	0.8045292140776112
SRS016529	hmp	MicFunPred	97	0.8721892379784321
SRS016541	hmp	MicFunPred	97	0.8534943896654582
SRS016753	hmp	MicFunPred	97	0.7982127709503598
SRS011586	hmp	MicFunPred	97	0.7436920022866713
SRS016954	hmp	MicFunPred	97	0.8470382773702763
SRS017076	hmp	MicFunPred	97	0.8658853491185525
SRS017103	hmp	MicFunPred	97	0.8379889623793474
SRS017139	hmp	MicFunPred	97	0.8475622769502108
SRS017191	hmp	MicFunPred	97	0.7712274572264544
SRS017209	hmp	MicFunPred	97	0.86025269923853
SRS017215	hmp	MicFunPred	97	0.8501016771305958
SRS017227	hmp	MicFunPred	97	0.8261349187914999
SRS017307	hmp	MicFunPred	97	0.8289088016054336
SRS017521	hmp	MicFunPred	97	0.7945866338200327
SRS017533	hmp	MicFunPred	97	0.8640931312482606
SRS017701	hmp	MicFunPred	97	0.832471960007524
SRS017713	hmp	MicFunPred	97	0.8656129431712947
SRS017788	hmp	MicFunPred	97	0.8610551637302026
SRS017821	hmp	MicFunPred	97	0.8083114910046023
SRS017849	hmp	MicFunPred	97	0.8058472599905122
SRS017851	hmp	MicFunPred	97	0.7942589898530044
SRS018133	hmp	MicFunPred	97	0.8069714780823483
SRS018145	hmp	MicFunPred	97	0.8516701389951593
SRS018149	hmp	MicFunPred	97	0.845474303685873
SRS018157	hmp	MicFunPred	97	0.8658796350086916
SRS018313	hmp	MicFunPred	97	0.7805045232807126
SRS018394	hmp	MicFunPred	97	0.8621835657974185
SRS018427	hmp	MicFunPred	97	0.7833020880232923
SRS018439	hmp	MicFunPred	97	0.8528695419244144
SRS018443	hmp	MicFunPred	97	0.810663288999392
SRS018501	hmp	MicFunPred	97	0.7893306387368153
SRS018513	hmp	MicFunPred	97	0.6922126145357106
SRS018591	hmp	MicFunPred	97	0.8630756443611848
SRS018739	hmp	MicFunPred	97	0.8735358365564595
SRS018791	hmp	MicFunPred	97	0.8583422443859657
SRS018817	hmp	MicFunPred	97	0.8313968869735027
SRS019267	hmp	MicFunPred	97	0.8237527567458383
SRS019582	hmp	MicFunPred	97	0.8397975179672303
SRS019685	hmp	MicFunPred	97	0.769284973555227
SRS019787	hmp	MicFunPred	97	0.8219997118399163
SRS019894	hmp	MicFunPred	97	0.8694305989273864
SRS019906	hmp	MicFunPred	97	0.8788333395144793
SRS019910	hmp	MicFunPred	97	0.8394132747601284
SRS049959	hmp	MicFunPred	97	0.8277015167006817
SRS049389	hmp	MicFunPred	97	0.8627303467628389
SRS047219	hmp	MicFunPred	97	0.8697882701428127
SRS050422	hmp	MicFunPred	97	0.8417930487861377
SRS042643	hmp	MicFunPred	97	0.8691250009566541
SRS053335	hmp	MicFunPred	97	0.8320964193533025
SRS020233	hmp	MicFunPred	97	0.8496619879618841
SRS020261	hmp	MicFunPred	97	0.7778374836434695
SRS020263	hmp	MicFunPred	97	0.817300067838344
SRS020869	hmp	MicFunPred	97	0.8058651405282384
SRS021484	hmp	MicFunPred	97	0.8240596048365072
SRS021496	hmp	MicFunPred	97	0.8715608031758727
SRS022609	hmp	MicFunPred	97	0.8360024640309196
SRS022621	hmp	MicFunPred	97	0.8687945613635417
SRS023557	hmp	MicFunPred	97	0.8723690017021674
SRS023617	hmp	MicFunPred	97	0.8697902205438509
SRS023914	hmp	MicFunPred	97	0.8193299993517471
SRS023926	hmp	MicFunPred	97	0.866320486607639
SRS023930	hmp	MicFunPred	97	0.8484038675249452
SRS023938	hmp	MicFunPred	97	0.8062207265296429
SRS024265	hmp	MicFunPred	97	0.7279087134575027
SRS024277	hmp	MicFunPred	97	0.8555838364598659
SRS024281	hmp	MicFunPred	97	0.8457510573812878
SRS024289	hmp	MicFunPred	97	0.8596665897024074
SRS024331	hmp	MicFunPred	97	0.8246617069304343
SRS024355	hmp	MicFunPred	97	0.848138111857742
SRS024388	hmp	MicFunPred	97	0.7857894747494226
SRS024580	hmp	MicFunPred	97	0.8764650495235516
SRS024596	hmp	MicFunPred	97	0.8413275755031278
SRS024598	hmp	MicFunPred	97	0.8290648543134419
SRS024625	hmp	MicFunPred	97	0.8376261984574669
SRS024637	hmp	MicFunPred	97	0.8665888778465198
SRS024649	hmp	MicFunPred	97	0.869584941932277
SRS058182	hmp	MicFunPred	97	0.8113215190537836
SRS058770	hmp	MicFunPred	97	0.8264194724758209
SRS057692	hmp	MicFunPred	97	0.8603044011925036
SRS047634	hmp	MicFunPred	97	0.8747323643671704
SRS045197	hmp	MicFunPred	97	0.8617464047229607
SRS043411	hmp	MicFunPred	97	0.8113730444641762
SRS051031	hmp	MicFunPred	97	0.836834140617715
SRS049164	hmp	MicFunPred	97	0.7715134368705902
SRS048870	hmp	MicFunPred	97	0.7705128943552837
SRS052697	hmp	MicFunPred	97	0.8037761683208234
SRS054590	hmp	MicFunPred	97	0.7466112612945536
SRS043701	hmp	MicFunPred	97	0.8564198741646207
SRS047113	hmp	MicFunPred	97	0.8425799186462525
SRS062427	hmp	MicFunPred	97	0.8339256282868048
SRS062544	hmp	MicFunPred	97	0.8713914959949828
SRS064276	hmp	MicFunPred	97	0.7721487113487088
SRS064557	hmp	MicFunPred	97	0.8262245828217717
SRS065278	hmp	MicFunPred	97	0.869413128689995
SRS063603	hmp	MicFunPred	97	0.8705840266937607
SRS063985	hmp	MicFunPred	97	0.7666027002599172
SRS011271	hmp	PICRUSt2	97	0.8051451500885329
SRS013234	hmp	PICRUSt2	97	0.806240998924954
SRS013252	hmp	PICRUSt2	97	0.8608066615981871
SRS013261	hmp	PICRUSt2	97	0.8194194305653429
SRS011405	hmp	PICRUSt2	97	0.77060455557893
SRS011452	hmp	PICRUSt2	97	0.7665719777529089
SRS013502	hmp	PICRUSt2	97	0.8461121983752742
SRS017304	hmp	PICRUSt2	97	0.8192721057555195
SRS011529	hmp	PICRUSt2	97	0.8120158991103021
SRS013638	hmp	PICRUSt2	97	0.6265024660993337
SRS013687	hmp	PICRUSt2	97	0.774422967952786
SRS013705	hmp	PICRUSt2	97	0.8362306653786881
SRS013723	hmp	PICRUSt2	97	0.8683940213067716
SRS014271	hmp	PICRUSt2	97	0.8466519762800089
SRS014287	hmp	PICRUSt2	97	0.8175596606293358
SRS014235	hmp	PICRUSt2	97	0.823097243382893
SRS014613	hmp	PICRUSt2	97	0.8142636290827118
SRS014923	hmp	PICRUSt2	97	0.7773609076248705
SRS015133	hmp	PICRUSt2	97	0.8112850440857227
SRS015174	hmp	PICRUSt2	97	0.8289474435788221
SRS015190	hmp	PICRUSt2	97	0.7827197092452104
SRS015395	hmp	PICRUSt2	97	0.8393487557701874
SRS015470	hmp	PICRUSt2	97	0.8426611419602531
