Tool,Data,Percent_identity,Sample,TP,FP,TN,FN,TPR,FPR,Precision,F1_score,BA
PICRUSt2,indian,97,HCA,3633,1149,5040,3657,49.83539094650206,18.565196316044595,75.9723964868256,60.188866799204774,66.9617070395494
PICRUSt2,indian,97,HDA,3393,1274,4907,3421,49.79454065159965,20.61155152887882,72.70194986072424,59.10634962111315,65.81182987752831
PICRUSt2,indian,97,HAK,3668,1228,4707,3692,49.836956521739125,20.690817186183658,74.91830065359477,59.856396866840726,65.48034332596396
PICRUSt2,indian,97,HBM,3071,2082,4712,3088,49.86199058288683,30.644686488077717,59.596351639821464,54.29632248939179,60.003304025038936
PICRUSt2,indian,97,HCW,3614,1183,4869,3642,49.80705622932745,19.547257105089226,75.33875338753387,59.96847257944079,66.2735360169957
PICRUSt2,indian,97,HCZ,2344,2323,4952,2360,49.82993197278912,31.93127147766323,50.2249839297193,50.02667804930104,58.974636384990944
PICRUSt2,indian,97,HCK,2647,1930,5188,2669,49.793077501881115,27.11435796572071,57.832641468210625,53.51258465581725,61.93146646402767
PICRUSt2,indian,97,HCH,2258,2467,5160,2273,49.8344736261311,32.34561426511079,47.78835978835979,48.78997407087296,58.60425657923304
PICRUSt2,indian,97,C23_M,3429,1132,5241,3452,49.83287312890568,17.76243527381139,75.18088138566104,59.9370739381227,67.73538490081395
PICRUSt2,indian,97,HCB,2146,2625,4931,2161,49.82586487114,34.740603493912126,44.98008803185915,47.27913637365058,57.254567422584955
PICRUSt2,indian,97,HAE,3082,1666,5113,3101,49.84635290312146,24.575896149874612,64.91154170176917,56.39008324947398,63.579462109710974
PICRUSt2,indian,97,HBW,3545,1480,4827,3566,49.85234144283505,23.465990169652766,70.54726368159204,58.421226104152936,64.02973811983807
PICRUSt2,indian,97,HZ,2178,2358,5316,2189,49.87405541561713,30.727130570758405,48.01587301587302,48.927327867011115,59.4243255818872
PICRUSt2,indian,97,HV,3617,1654,4636,3641,49.83466519702397,26.29570747217806,68.62075507493834,57.738047729268104,62.31569347319468
PICRUSt2,indian,97,HAZ,3854,1139,4824,3877,49.85124822144613,19.101123595505616,77.18806328860404,60.57843445457403,66.31498325905895
PICRUSt2,indian,97,HT,3382,1585,4901,3410,49.793875147232036,24.437249460376194,68.08938997382727,57.52189812058848,63.52971484012022
PICRUSt2,indian,97,HP,3194,1860,4773,3221,49.78955572876072,28.04161013116237,63.19746735259201,55.69796843665533,61.45237390646863
PICRUSt2,indian,97,HCT,3408,1345,5130,3425,49.87560368798478,20.772200772200772,71.70208289501367,58.829621957534954,65.83350784142851
PICRUSt2,indian,97,HDC,2931,1632,5098,2948,49.855417588025176,24.24962852897474,64.23405654174886,56.13867075272936,63.79736632705141
PICRUSt2,indian,97,HAP,3634,869,5295,3657,49.8422712933754,14.097988319273199,80.7017543859649,61.62455485840257,69.92527397582428
PICRUSt2,indian,97,HL,3478,1786,4601,3500,49.84236170822585,27.963049945201192,66.07142857142857,56.820780918150625,61.433442961186444
PICRUSt2,indian,97,HD,3262,1332,5257,3282,49.84718826405868,20.21551069965093,71.00565955594253,58.574250314239535,66.28512278652028
